property_id,rfc_number,section,property_type,natural_language,atomic_propositions,ltl_formula,ltl_explanation,ltl_operators,approved,timestamp
acc931f5,2920,3.2,Safety,SHOULD issue a positive response to the DATA command if and only if one or more valid RCPT TO addresses have been previously received.,"data_command_received, positive_response_issued, valid_rcpt_to_received, rcpt_to_command_processed, rcpt_to_address_valid, negative_response_issued",G (data_command_received -> (positive_response_issued <-> valid_rcpt_to_received)),"Always: when DATA command is received, positive response is issued if and only if valid RCPT TO addresses were previously received","G,->,<->",False,2025-12-10T22:06:33.114922
1d46aa10,2920,3.2,Safety,"MUST NOT, after issuing a positive response to a DATA command with no valid recipients and subsequently receiving an empty message, send any message whatsoever to anybody.","server_issues_positive_response_to_data, data_command_has_no_valid_recipients, server_receives_empty_message, server_sends_message_to_anyone, positive_response_issued, empty_message_received",G ((server_issues_positive_response_to_data & data_command_has_no_valid_recipients & server_receives_empty_message) -> G !server_sends_message_to_anyone),"Always: if server issues positive response to DATA with no valid recipients and receives empty message, then always never send any message to anybody","G,->,&,!",False,2025-12-10T22:06:33.114931
374cd2c8,2920,3.2,Safety,"MUST NOT buffer responses to EHLO, DATA, VRFY, EXPN, TURN, QUIT, and NOOP.","client_sends_ehlo, client_sends_data, client_sends_vrfy, client_sends_expn, client_sends_turn, client_sends_quit, client_sends_noop, server_buffers_ehlo_response, server_buffers_data_response, server_buffers_vrfy_response, server_buffers_expn_response, server_buffers_turn_response, server_buffers_quit_response, server_buffers_noop_response, response_is_buffered",G ((client_sends_ehlo -> !server_buffers_ehlo_response) & (client_sends_data -> !server_buffers_data_response) & (client_sends_vrfy -> !server_buffers_vrfy_response) & (client_sends_expn -> !server_buffers_expn_response) & (client_sends_turn -> !server_buffers_turn_response) & (client_sends_quit -> !server_buffers_quit_response) & (client_sends_noop -> !server_buffers_noop_response)),"Always: responses to EHLO, DATA, VRFY, EXPN, TURN, QUIT, and NOOP commands must not be buffered","G,->,&,!",False,2025-12-10T22:06:33.114938
4e8ebe88,2920,3.2,Safety,MUST NOT buffer responses to unrecognized commands.,"command_received, command_is_recognized, command_is_unrecognized, response_generated, response_buffered, response_sent_immediately, buffer_contains_response",G ((command_received & command_is_unrecognized) -> !response_buffered),"Always: if an unrecognized command is received, the response must not be buffered","G,->,&,!",False,2025-12-10T22:06:33.114945
fb3d3aa4,2920,3.2,Timing,MUST send all pending responses immediately whenever the local TCP input buffer is emptied.,"local_tcp_input_buffer_emptied, pending_responses_exist, send_pending_responses, responses_sent_immediately, local_tcp_input_buffer_empty, all_pending_responses_sent",G ((local_tcp_input_buffer_emptied & pending_responses_exist) -> responses_sent_immediately),"Always: when TCP input buffer is emptied and pending responses exist, they must be sent immediately","G,->,&",False,2025-12-10T22:06:33.114952
4574159d,2920,3.2,Safety,MUST NOT make assumptions about commands that are yet to be received.,"assumption_made_about_future_command, command_received, command_pending_receipt, system_processes_known_commands_only, future_command_predicted, decision_based_on_unreceived_command",G !assumption_made_about_future_command,Always: never make assumptions about commands that are yet to be received,"G,!",False,2025-12-10T22:06:33.114960
ee9d0046,2920,3.2,Safety,MUST NOT flush or otherwise lose the contents of the TCP input buffer under any circumstances whatsoever.,"tcp_input_buffer_flushed, tcp_input_buffer_contents_lost, tcp_input_buffer_has_data, tcp_input_buffer_empty, tcp_connection_active, tcp_connection_reset, tcp_connection_closed, system_error_occurs, memory_pressure_high, tcp_stack_shutdown",G !(tcp_input_buffer_flushed | tcp_input_buffer_contents_lost),Always: never flush the TCP input buffer or lose its contents under any circumstances,"G,!,|",False,2025-12-10T22:06:33.114968
cbdd3bed,2920,3.2,Safety,"SHOULD issue response text that indicates, either implicitly or explicitly, what command the response matches.","system_receives_command, system_issues_response, response_contains_text, response_explicitly_indicates_matched_command, response_implicitly_indicates_matched_command, command_response_mapping_exists",G (system_issues_response -> (response_explicitly_indicates_matched_command | response_implicitly_indicates_matched_command)),"Always: when system issues a response, it should indicate (explicitly or implicitly) what command the response matches","G,->,|",False,2025-12-10T22:06:33.114976
9a116243,2920,3.1,Safety,Client SMTP implementations that employ pipelining MUST check ALL statuses associated with each command in a group.,"client_uses_pipelining, commands_grouped_in_pipeline, status_received_for_command, client_checks_command_status, all_statuses_checked, command_group_complete",G ((client_uses_pipelining & command_group_complete) -> all_statuses_checked),"Always: if client uses pipelining and command group is complete, all statuses associated with each command must be checked","G,->,&",True,2025-12-10T22:06:33.114983
3c81f89a,2920,3.1,Safety,Command statuses MUST be coordinated with responses by counting each separate response and correlating that count with the number of commands.,"command_issued, response_received, command_count_incremented, response_count_incremented, command_count_equals_response_count, command_response_correlation_performed, command_status_coordinated, counting_mechanism_active",G (counting_mechanism_active -> (command_issued -> command_count_incremented) & (response_received -> response_count_incremented) & F command_response_correlation_performed),"Always: when counting mechanism is active, commands and responses must be counted and eventually correlated","G,->,&,F",True,2025-12-10T22:06:33.114991
